Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-1.89603,2.05232,6.18916,6.18916,8.91834,11.4236,11.4236,15.1636,16.9822,16.9822,17.2199,18.2128,18.2128,18.5647,24.7208,24.9648
0.02,-1,-1.90513,2.0687,6.19083,6.19083,8.92117,11.4258,11.4258,15.1681,16.8771,16.8771,17.088,18.3293,18.3293,18.7023,24.1527,25.5416
0.04,-1,-1.92943,2.11564,6.19691,6.19691,8.93027,11.4331,11.4331,15.1812,16.6476,16.6476,16.8088,18.595,18.595,19.0014,23.5798,25.9498
0.06,-1,-1.96771,2.19187,6.20739,6.20739,8.94557,11.4452,11.4452,15.2011,16.3718,16.3718,16.4748,18.9316,18.9316,19.3694,23.0217,25.4639
0.08,-1,-2.01816,2.29553,6.22218,6.22218,8.96699,11.4615,11.4615,15.2226,16.0846,16.0846,16.1289,19.3047,19.3047,19.7641,22.4846,24.9848
0.1,-1,-2.07866,2.42441,6.2412,6.2412,8.99438,11.4812,11.4812,15.2263,15.8004,15.8004,15.8043,19.7003,19.7003,20.1575,21.9834,24.516
0.12,-1,-2.14696,2.57612,6.26434,6.26434,9.02756,11.5031,11.5031,15.1338,15.5263,15.5263,15.5853,20.1114,20.1114,20.4847,21.5777,24.0597
0.14,-1,-2.22088,2.74835,6.29143,6.29143,9.06624,11.5257,11.5257,14.872,15.2668,15.2668,15.5474,20.5088,20.5329,20.5329,21.5024,23.6186
0.16,-1,-2.29841,2.93888,6.32229,6.32229,9.11008,11.547,11.547,14.5403,15.0253,15.0253,15.5921,20.1746,20.9583,20.9583,21.8123,23.1984
0.18,-1,-2.37777,3.14571,6.35668,6.35668,9.15857,11.5647,11.5647,14.1937,14.8051,14.8051,15.6642,19.7475,21.37,21.37,22.2422,22.8162
0.2,-1,-2.45743,3.36701,6.39431,6.39431,9.21106,11.5762,11.5762,13.8458,14.6095,14.6095,15.7491,19.3128,21.6893,21.6893,22.5505,22.5505
0.22,-1,-2.53607,3.60113,6.43484,6.43484,9.26663,11.5786,11.5786,13.5011,14.4417,14.4417,15.8401,18.8927,21.6686,21.6686,22.6489,22.6489
0.24,-1,-2.6126,3.84655,6.47786,6.47786,9.32405,11.5692,11.5692,13.1621,14.3044,14.3044,15.9309,18.4984,21.3834,21.3834,23.0365,23.0365
0.26,-1,-2.68609,4.10184,6.52288,6.52288,9.38156,11.5458,11.5458,12.8306,14.1997,14.1997,16.0119,18.142,21.0456,21.0456,23.5016,23.5016
0.28,-1,-2.75577,4.3656,6.56935,6.56935,9.43668,11.5077,11.5077,12.5091,14.1283,14.1283,16.0678,17.8407,20.705,20.705,23.5004,23.9953
0.3,-1,-2.82103,4.63641,6.6166,6.6166,9.48588,11.4557,11.4557,12.2007,14.089,14.089,16.0747,17.6198,20.3743,20.3743,23.116,24.5059
0.32,-1,-2.88132,4.91272,6.66387,6.66387,9.52404,11.392,11.392,11.9101,14.0789,14.0789,16.0091,17.5039,20.0586,20.0586,22.7281,25.0292
0.34,-1,-2.93623,5.19274,6.71031,6.71031,9.54395,11.3203,11.3203,11.644,14.0936,14.0936,15.8709,17.4945,19.7613,19.7613,22.3495,25.5633
0.36,-1,-2.98539,5.47429,6.75497,6.75497,9.53625,11.2447,11.2447,11.4115,14.1278,14.1278,15.6864,17.5662,19.4855,19.4855,21.9849,26.1068
0.38,-1,-3.02851,5.75446,6.79682,6.79682,9.49094,11.1695,11.1695,11.2228,14.1756,14.1756,15.4867,17.6888,19.2343,19.2343,21.6375,26.6587
0.4,-1,-3.06536,6.02916,6.83479,6.83479,9.40205,11.0847,11.0987,11.0987,14.2308,14.2308,15.2934,17.8401,19.0111,19.0111,21.3111,27.2171
0.42,-1,-3.09575,6.29218,6.86778,6.86778,9.27368,10.9961,11.0358,11.0358,14.2875,14.2875,15.1206,18.0046,18.8199,18.8199,21.011,27.7798
0.44,-1,-3.11953,6.53363,6.89473,6.89473,9.12219,10.947,10.9837,10.9837,14.3396,14.3396,14.9775,18.1679,18.6648,18.6648,20.7459,28.3418
0.46,-1,-3.13659,6.73745,6.91474,6.91474,8.97375,10.9238,10.9449,10.9449,14.3817,14.3817,14.8705,18.313,18.5502,18.5502,20.5297,28.891
0.48,-1,-3.14685,6.87933,6.92706,6.92706,8.8615,10.9149,10.9209,10.9209,14.409,14.409,14.8045,18.4172,18.4796,18.4796,20.3834,29.3877
0.5,-1,-3.15028,6.93122,6.93122,6.93122,8.81889,10.9127,10.9127,10.9127,14.4185,14.4185,14.7821,18.4558,18.4558,18.4558,20.3309,29.6483
0.5,1,-3.15028,6.93122,6.93122,6.93122,8.81889,10.9127,10.9127,10.9127,14.4185,14.4185,14.7821,18.4558,18.4558,18.4558,20.3309,29.6483
0.52,1,-3.14914,6.91727,6.92799,6.92799,8.83349,10.9082,10.918,10.918,14.4105,14.42,14.7896,18.4535,18.4583,18.4583,20.3487,29.5556
0.54,1,-3.14571,6.87667,6.91834,6.91834,8.87601,10.8948,10.9339,10.9339,14.3868,14.4246,14.8121,18.4474,18.4657,18.4657,20.4015,29.3442
0.56,1,-3.14,6.8127,6.90245,6.90245,8.9431,10.8729,10.96,10.96,14.3477,14.4323,14.8496,18.4387,18.4782,18.4782,20.487,29.088
0.58,1,-3.13202,6.72957,6.8806,6.8806,9.0304,10.843,10.9963,10.9963,14.2939,14.4431,14.9017,18.4297,18.4956,18.4956,20.6024,28.8157
0.6,1,-3.12176,6.63146,6.85314,6.85314,9.1335,10.806,11.0423,11.0423,14.2267,14.457,14.968,18.4223,18.518,18.518,20.7444,28.5372
0.62,1,-3.10925,6.52201,6.8205,6.8205,9.24849,10.7628,11.0975,11.0975,14.1476,14.474,15.0476,18.4183,18.5454,18.5454,20.9098,28.2567
0.64,1,-3.09448,6.40409,6.78316,6.78316,9.37203,10.7143,11.1616,11.1616,14.0586,14.494,15.1396,18.419,18.5777,18.5777,21.0957,27.9763
0.66,1,-3.07748,6.27994,6.74161,6.74161,9.50122,10.6618,11.2339,11.2339,13.9614,14.5172,15.2431,18.4253,18.615,18.615,21.2997,27.697
0.68,1,-3.05825,6.15123,6.69638,6.69638,9.63335,10.6068,11.314,11.314,13.8582,14.5434,15.3574,18.4378,18.6573,18.6573,21.5197,27.4195
0.7,1,-3.03682,6.01923,6.64796,6.64796,9.76543,10.5511,11.4013,11.4013,13.751,14.5726,15.4814,18.4567,18.7046,18.7046,21.7539,27.144
0.72,1,-3.01321,5.8849,6.59685,6.59685,9.89315,10.4982,11.4953,11.4953,13.6419,14.605,15.6145,18.4823,18.7568,18.7568,22.0009,26.8709
0.74,1,-2.98744,5.74895,6.54351,6.54351,10.0083,10.4553,11.5955,11.5955,13.5331,14.6404,15.756,18.5146,18.8139,18.8139,22.2593,26.6003
0.76,1,-2.95953,5.61197,6.48839,6.48839,10.0925,10.4394,11.7015,11.7015,13.4271,14.6788,15.9052,18.5533,18.876,18.876,22.5282,26.3323
