Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-7.25591,1.62505,3.87887,3.87887,7.56164,10.7544,10.7544,13.7441,14.3822,15.0578,15.0578,15.1683,17.1464,17.1464,22.9613,23.5149
0.02,-1,-7.25811,1.63089,3.87892,3.87892,7.56149,10.7569,10.7569,13.6356,14.3262,15.0006,15.0006,15.3349,17.2135,17.2135,22.5169,23.9601
0.04,-1,-7.2625,1.64951,3.88142,3.88142,7.56344,10.7652,10.7652,13.429,14.2812,14.8697,14.8697,15.6133,17.3767,17.3767,22.0463,23.5413
0.06,-1,-7.26904,1.6808,3.88632,3.88632,7.56709,10.7791,10.7791,13.1661,14.2702,14.6914,14.6914,15.9379,17.6099,17.6099,21.5849,23.118
0.08,-1,-7.27761,1.72457,3.89355,3.89355,7.57181,10.7982,10.7982,12.8805,14.2832,14.4878,14.4878,16.2833,17.8908,17.8908,21.14,22.6992
0.1,-1,-7.28807,1.78059,3.90303,3.90303,7.57669,10.8219,10.8219,12.59,14.2739,14.2739,14.3123,16.6361,18.2047,18.2047,20.7175,22.2883
0.12,-1,-7.30024,1.84854,3.91463,3.91463,7.58051,10.8495,10.8495,12.3039,14.0593,14.0593,14.3534,16.9843,18.5421,18.5421,20.3264,21.8875
0.14,-1,-7.31391,1.92806,3.92821,3.92821,7.5817,10.8799,10.8799,12.0277,13.8501,13.8501,14.4041,17.3099,18.8956,18.8956,19.9836,21.4996
0.16,-1,-7.32885,2.01873,3.9436,3.9436,7.57829,10.9118,10.9118,11.7656,13.6511,13.6511,14.4627,17.5794,19.2573,19.2573,19.7225,21.13
0.18,-1,-7.3448,2.12007,3.9606,3.9606,7.56792,10.9433,10.9433,11.521,13.4661,13.4661,14.5274,17.7353,19.6016,19.6087,19.6087,20.7958
0.2,-1,-7.36151,2.23153,3.97899,3.97899,7.54787,10.9724,10.9724,11.2974,13.2983,13.2983,14.5962,17.7275,19.6723,19.8665,19.8665,20.5791
0.22,-1,-7.3787,2.35253,3.99852,3.99852,7.51523,10.9966,10.9966,11.0982,13.1513,13.1513,14.6664,17.5812,19.8052,19.8052,19.912,20.7054
0.24,-1,-7.3961,2.4824,4.0189,4.0189,7.46711,10.9263,11.013,11.013,13.028,13.028,14.7342,17.3657,19.5391,19.5391,20.2551,21.0604
0.26,-1,-7.41343,2.62039,4.03984,4.03984,7.40111,10.7842,11.0192,11.0192,12.9313,12.9313,14.7937,17.133,19.2372,19.2372,20.6546,21.475
