Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-2.44623,3.3101,8.29726,8.29726,11.7862,14.6322,14.6322,18.7763,21.5702,21.5702,22.1127,23.5254,23.5254,23.8922,31.834,32.2416
0.02,-1,-2.45553,3.32879,8.29952,8.29952,11.79,14.6365,14.6365,18.7831,21.4606,21.4606,21.9572,23.6491,23.6491,24.0526,31.1379,32.9498
0.04,-1,-2.48096,3.38299,8.3071,8.3071,11.8019,14.65,14.65,18.8036,21.2014,21.2014,21.6155,23.9523,23.9523,24.4128,30.4142,32.7191
0.06,-1,-2.52144,3.47156,8.31998,8.31998,11.8218,14.6724,14.6724,18.8373,20.8715,20.8715,21.1972,24.3561,24.3561,24.8602,29.71,32.0936
0.08,-1,-2.57534,3.59276,8.33807,8.33807,11.8497,14.7031,14.7031,18.8831,20.516,20.516,20.7519,24.8157,24.8157,25.3377,29.0376,31.4764
0.1,-1,-2.64065,3.74446,8.36128,8.36128,11.8854,14.7412,14.7412,18.9382,20.1563,20.1563,20.3014,25.3101,25.3101,25.8023,28.4223,30.8716
0.12,-1,-2.71516,3.9243,8.38946,8.38946,11.9287,14.7855,14.7855,18.9933,19.8036,19.8036,19.863,25.8284,25.8284,26.1658,27.9451,30.2818
0.14,-1,-2.79665,4.12981,8.42244,8.42244,11.9792,14.8344,14.8344,19.0002,19.4644,19.4644,19.4885,26.2067,26.3632,26.3632,27.8248,29.7101
0.16,-1,-2.88298,4.35859,8.45999,8.45999,12.0367,14.8856,14.8856,18.7781,19.1439,19.1439,19.3603,25.8529,26.9047,26.9047,28.1327,29.1639
0.18,-1,-2.97217,4.60834,8.50182,8.50182,12.1006,14.9364,14.9364,18.3833,18.8466,18.8466,19.4227,25.3403,27.4208,27.4208,28.6326,28.6744
0.2,-1,-3.06246,4.87687,8.5476,8.5476,12.1701,14.9831,14.9831,17.959,18.577,18.577,19.532,24.7925,27.6845,27.6845,28.468,28.468
0.22,-1,-3.15228,5.16214,8.59691,8.59691,12.2442,15.0213,15.0213,17.5333,18.3402,18.3402,19.6588,24.2482,27.3744,27.3744,28.8658,28.8658
0.24,-1,-3.24029,5.46218,8.64926,8.64926,12.3215,15.0463,15.0463,17.1134,18.1413,18.1413,19.7941,23.7241,26.9161,26.9161,29.4426,29.4426
0.26,-1,-3.32531,5.77512,8.70405,8.70405,12.3998,15.0531,15.0531,16.7026,17.9854,17.9854,19.9299,23.2323,26.4474,26.4474,29.9635,30.061
