Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-2.63094,2.09233,6.25195,6.25195,8.53898,11.7661,11.7661,15.0277,16.9921,17.2806,17.2806,17.7538,18.6233,18.6233,24.5045,24.9192
0.02,-1,-2.63741,2.10597,6.25361,6.25361,8.54196,11.7684,11.7684,15.0289,16.799,17.1844,17.1844,17.9564,18.7312,18.7312,24.0036,25.4297
0.04,-1,-2.65532,2.14587,6.25949,6.25949,8.5512,11.7753,11.7753,15.0311,16.4684,16.9697,16.9697,18.3209,18.983,18.983,23.4375,26.028
0.06,-1,-2.68397,2.21129,6.26955,6.26955,8.56659,11.7865,11.7865,15.0267,16.1262,16.7065,16.7065,18.728,19.3089,19.3089,22.8788,25.7973
0.08,-1,-2.72227,2.30108,6.28373,6.28373,8.58797,11.8014,11.8014,14.9935,15.8191,16.4298,16.4298,19.1503,19.6742,19.6742,22.3361,25.3143
0.1,-1,-2.76888,2.41382,6.30192,6.30192,8.61508,11.8192,11.8192,14.882,15.6036,16.155,16.155,19.5731,20.0638,20.0638,21.8188,24.8426
0.12,-1,-2.82229,2.54789,6.32399,6.32399,8.64755,11.8385,11.8385,14.6562,15.5183,15.89,15.89,19.9657,20.4697,20.4697,21.3561,24.3843
0.14,-1,-2.88098,2.70161,6.3498,6.3498,8.68487,11.858,11.858,14.3574,15.5228,15.6398,15.6398,20.1882,20.8861,20.8861,21.0877,23.9425
0.16,-1,-2.94342,2.87331,6.37913,6.37913,8.72636,11.8755,11.8755,14.0323,15.4081,15.4081,15.571,19.9867,21.2681,21.3047,21.3047,23.524
0.18,-1,-3.00821,3.06136,6.41174,6.41174,8.77106,11.8889,11.8889,13.7013,15.1984,15.1984,15.6421,19.5829,21.6762,21.7036,21.7036,23.1501
0.2,-1,-3.07405,3.26423,6.44733,6.44733,8.81769,11.8956,11.8956,13.3732,15.014,15.014,15.7268,19.1492,21.9914,21.9914,22.1411,22.9117
0.22,-1,-3.13978,3.48049,6.48557,6.48557,8.86448,11.8929,11.8929,13.0529,14.8579,14.8579,15.8186,18.724,21.9444,21.9444,22.6244,23.0327
0.24,-1,-3.20438,3.70881,6.52603,6.52603,8.90899,11.8785,11.8785,12.7439,14.7327,14.7327,15.9101,18.3227,21.6587,21.6587,23.1037,23.4172
0.26,-1,-3.26698,3.94791,6.56825,6.56825,8.94793,11.8509,11.8509,12.4498,14.6399,14.6399,15.9898,17.9603,21.3202,21.3202,23.4719,23.8796
0.28,-1,-3.32682,4.19662,6.61165,6.61165,8.97679,11.8097,11.8097,12.1752,14.5798,14.5798,16.0372,17.6592,20.9771,20.9771,23.3265,24.3379
0.3,-1,-3.38323,4.45375,6.65562,6.65562,8.98976,11.756,11.756,11.9251,14.5509,14.5509,16.0202,17.4531,20.6424,20.6424,22.9503,24.8332
0.32,-1,-3.43567,4.71817,6.69943,6.69943,8.97968,11.6922,11.6922,11.7062,14.5505,14.5505,15.9123,17.3701,20.3217,20.3217,22.5538,25.3715
0.34,-1,-3.48367,4.98868,6.74228,6.74228,8.93888,11.5248,11.6217,11.6217,14.574,14.574,15.7244,17.4009,20.0187,20.0187,22.1622,25.9277
0.36,-1,-3.52684,5.26397,6.78331,6.78331,8.86089,11.3861,11.5484,11.5484,14.6165,14.6165,15.4946,17.5093,19.7364,19.7364,21.7815,26.4964
0.38,-1,-3.56485,5.54256,6.82159,6.82159,8.74268,11.2913,11.4762,11.4762,14.6723,14.6723,15.2555,17.6647,19.4781,19.4781,21.4144,27.0553
0.4,-1,-3.59743,5.82254,6.85616,6.85616,8.58619,11.2367,11.4087,11.4087,14.7353,14.7353,15.0275,17.8484,19.2475,19.2475,21.0635,27.6236
0.42,-1,-3.62437,6.10121,6.88607,6.88607,8.39794,11.2138,11.349,11.349,14.7994,14.7994,14.8238,18.0485,19.0489,19.0489,20.7325,28.2002
0.44,-1,-3.64549,6.374,6.91043,6.91043,8.18811,11.2119,11.2998,11.2998,14.654,14.8583,14.8583,18.2541,18.887,18.887,20.428,28.7835
0.46,-1,-3.66066,6.63119,6.92845,6.92845,7.97178,11.2201,11.2631,11.2631,14.5261,14.9059,14.9059,18.4493,18.7666,18.7666,20.1632,29.3686
