Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-0.523151,2.50607,8.35987,8.35987,10.4007,13.6662,13.6662,17.2843,20.5556,20.6285,20.6285,21.5919,21.5919,21.9434,28.5981,29.0206
0.02,-1,-0.541901,2.53408,8.36232,8.36232,10.4044,13.6693,13.6693,17.2909,20.3936,20.4577,20.4577,21.7766,21.7766,22.1146,28.0093,29.6183
0.04,-1,-0.592963,2.61367,8.37059,8.37059,10.416,13.6786,13.6786,17.311,20.0503,20.1284,20.1284,22.1486,22.1486,22.4852,27.314,30.3446
0.06,-1,-0.671455,2.73991,8.38466,8.38466,10.4357,13.6939,13.6939,17.3442,19.6453,19.7658,19.7658,22.583,22.583,22.9352,26.6238,30.0911
0.08,-1,-0.771094,2.90646,8.40449,8.40449,10.4632,13.7143,13.7143,17.3901,19.2216,19.4032,19.4032,23.0469,23.0469,23.4201,25.947,29.5139
0.1,-1,-0.885603,3.10697,8.42999,8.42999,10.4985,13.7388,13.7388,17.448,18.7945,19.0516,19.0516,23.5298,23.5298,23.9182,25.2925,28.9498
0.12,-1,-1.00951,3.33585,8.46107,8.46107,10.5416,13.766,13.766,17.5152,18.3719,18.7164,18.7164,24.0268,24.0268,24.3259,24.7593,28.4009
0.14,-1,-1.13841,3.58855,8.4976,8.4976,10.5923,13.7938,13.7938,17.5789,17.9686,18.4012,18.4012,23.927,24.5332,24.5332,25.0618,27.8703
0.16,-1,-1.26888,3.86148,8.53941,8.53941,10.6504,13.8199,13.8199,17.4619,17.7621,18.1096,18.1096,23.3256,25.0409,25.0409,25.5957,27.3654
0.18,-1,-1.39832,4.15182,8.58629,8.58629,10.7157,13.8411,13.8411,17.0827,17.8329,17.845,17.845,22.7307,25.5219,25.5219,26.1522,26.9144
0.2,-1,-1.52476,4.45736,8.63798,8.63798,10.7877,13.8542,13.8542,16.683,17.6114,17.6114,17.9371,22.1561,25.8171,25.8171,26.6761,26.6761
0.22,-1,-1.64671,4.7763,8.69412,8.69412,10.866,13.8552,13.8552,16.2854,17.4125,17.4125,18.0478,21.6092,25.6204,25.6204,26.957,26.957
0.24,-1,-1.76304,5.10713,8.7543,8.7543,10.9497,13.8407,13.8407,15.8931,17.2519,17.2519,18.1543,21.0998,25.2195,25.2195,27.4697,27.4697
0.26,-1,-1.87287,5.44854,8.818,8.818,11.0378,13.808,13.808,15.5072,17.1324,17.1324,18.2411,20.6443,24.7914,24.7914,27.4506,28.0378
0.28,-1,-1.97552,5.7993,8.88456,8.88456,11.1285,13.7559,13.7559,15.1285,17.0549,17.0549,18.2807,20.2713,24.3677,24.3677,26.9865,28.6306
0.3,-1,-2.07046,6.15823,8.95319,8.95319,11.2193,13.6853,13.6853,14.7585,17.0181,17.0181,18.2328,20.0232,23.9573,23.9573,26.503,29.2403
0.32,-1,-2.15728,6.52408,9.02291,9.02291,11.3064,13.5991,13.5991,14.3999,17.0186,17.0186,18.0696,19.9293,23.5644,23.5644,26.0255,29.8639
0.34,-1,-2.23564,6.89548,9.09257,9.09257,11.3837,13.5018,13.5018,14.0573,17.0513,17.0513,17.8124,19.9708,23.1923,23.1923,25.56,30.5
0.36,-1,-2.30528,7.27078,9.16077,9.16077,11.4414,13.3987,13.3987,13.7385,17.1096,17.1096,17.5091,20.1023,22.8442,22.8442,25.1093,31.1476
0.38,-1,-2.366,7.6479,9.22589,9.22589,11.465,13.2954,13.2954,13.4564,17.1861,17.1861,17.1978,20.288,22.524,22.524,24.6752,31.8059
0.4,-1,-2.41761,8.0239,9.28609,9.28609,11.4348,13.1973,13.1973,13.2287,16.9023,17.2732,17.2732,20.5071,22.236,22.236,24.26,32.4737
0.42,-1,-2.46001,8.3943,9.33937,9.33937,11.3343,13.0709,13.1093,13.1093,16.6382,17.3626,17.3626,20.746,21.9858,21.9858,23.8677,33.1495
0.44,-1,-2.49308,8.75115,9.38365,9.38365,11.1646,12.9828,13.0358,13.0358,16.4173,17.4455,17.4455,20.9924,21.7799,21.7799,23.5053,33.8299
0.46,-1,-2.51675,9.07819,9.41699,9.41699,10.9532,12.9459,12.9804,12.9804,16.2501,17.5131,17.5131,21.2285,21.6255,21.6255,23.1878,34.5062
0.48,-1,-2.53097,9.3369,9.43774,9.43774,10.7558,12.9357,12.946,12.946,16.1455,17.5576,17.5576,21.4183,21.5294,21.5294,22.9496,35.1473
0.5,-1,-2.53572,9.44478,9.44478,9.44478,10.667,12.9343,12.9343,12.9343,16.1098,17.5731,17.5731,21.4967,21.4967,21.4967,22.8552,35.5338
0.5,1,-2.53572,9.44478,9.44478,9.44478,10.667,12.9343,12.9343,12.9343,16.1098,17.5731,17.5731,21.4967,21.4967,21.4967,22.8552,35.5338
0.52,1,-2.53414,9.4133,9.43916,9.43916,10.6988,12.9263,12.9424,12.9424,16.1218,17.5608,17.575,21.485,21.4997,21.4997,22.8881,35.3968
0.54,1,-2.52939,9.32711,9.42248,9.42248,10.7858,12.9027,12.9664,12.9664,16.1572,17.5244,17.5805,21.454,21.5087,21.5087,22.9825,35.1146
0.56,1,-2.52148,9.20294,9.3952,9.3952,10.9113,12.8644,13.0058,13.0058,16.215,17.4649,17.5897,21.4126,21.5236,21.5236,23.1281,34.7924
0.58,1,-2.51042,9.05519,9.35807,9.35807,11.0607,12.813,13.0599,13.0599,16.2938,17.3845,17.6027,21.3697,21.5446,21.5446,23.3143,34.4586
0.6,1,-2.49619,8.8932,9.31201,9.31201,11.2245,12.7505,13.1278,13.1278,16.3916,17.2854,17.6193,21.3319,21.5715,21.5715,23.5325,34.1215
0.62,1,-2.47881,8.72249,9.25807,9.25807,11.3966,12.6786,13.2084,13.2084,16.5066,17.1706,17.6397,21.3029,21.6044,21.6044,23.7763,33.7844
0.64,1,-2.45828,8.54636,9.19732,9.19732,11.5735,12.5992,13.3006,13.3006,16.6368,17.0431,17.6637,21.2846,21.6433,21.6433,24.0412,33.4487
0.66,1,-2.4346,8.3668,9.13083,9.13083,11.7525,12.5141,13.4034,13.4034,16.7807,16.9061,17.6914,21.2777,21.6883,21.6883,24.324,33.1151
0.68,1,-2.40778,8.18509,9.0596,9.0596,11.9316,12.4247,13.5156,13.5156,16.7628,16.9366,17.7229,21.2822,21.7392,21.7392,24.6222,32.7842
0.7,1,-2.37783,8.00206,8.98458,8.98458,12.109,12.3323,13.6364,13.6364,16.6165,17.1034,17.758,21.2978,21.7962,21.7962,24.9338,32.4562
0.72,1,-2.34474,7.81828,8.9066,8.9066,12.2381,12.2827,13.7648,13.7648,16.4704,17.2798,17.7968,21.3239,21.8592,21.8592,25.2575,32.1312
0.74,1,-2.30853,7.63413,8.82642,8.82642,12.1428,12.4507,13.9002,13.9002,16.3279,17.4651,17.8394,21.36,21.9283,21.9283,25.5921,31.8095
0.76,1,-2.26921,7.44991,8.74468,8.74468,12.0474,12.6105,14.0417,14.0417,16.1928,17.6584,17.8856,21.4056,22.0034,22.0034,25.9365,31.491
0.78,1,-2.22678,7.26582,8.66196,8.66196,11.9524,12.759,14.1889,14.1889,16.069,17.859,17.9355,21.4602,22.0845,22.0845,26.2901,31.1758
0.8,1,-2.18125,7.08202,8.57878,8.57878,11.8583,12.8925,14.3411,14.3411,15.9613,17.9891,18.0665,21.5235,22.1717,22.1717,26.6521,30.864
0.82,1,-2.13264,6.89861,8.49556,8.49556,11.7657,13.0066,14.4978,14.4978,15.8747,18.0464,18.2804,21.595,22.2648,22.2648,27.022,30.5556
0.84,1,-2.08096,6.7157,8.41268,8.41268,11.6748,13.0969,14.6588,14.6588,15.8143,18.1074,18.5004,21.6746,22.364,22.364,27.3994,30.2507
0.86,1,-2.0262,6.53336,8.33048,8.33048,11.586,13.1589,14.8236,14.8236,15.7851,18.1721,18.7259,21.762,22.4691,22.4691,27.7838,29.9492
0.88,1,-1.9684,6.35164,8.24924,8.24924,11.4996,13.1901,14.9918,14.9918,15.7902,18.2405,18.9569,21.857,22.5801,22.5801,28.1749,29.6512
0.9,1,-1.90756,6.1706,8.1692,8.1692,11.4158,13.1898,15.1633,15.1633,15.8305,18.3126,19.193,21.9595,22.6969,22.6969,28.5723,29.3568
0.92,1,-1.8437,5.99027,8.09059,8.09059,11.3348,13.1602,15.3377,15.3377,15.904,18.3884,19.4341,22.0694,22.8193,22.8193,28.9759,29.0658
0.94,1,-1.77683,5.81069,8.0136,8.0136,11.2567,13.1054,15.5149,15.5149,16.0071,18.4678,19.6798,22.1866,22.9473,22.9473,28.7784,28.7972
0.96,1,-1.70697,5.6319,7.93839,7.93839,11.1818,13.0302,15.6946,15.6946,16.135,18.551,19.9301,22.3112,23.0806,23.0806,28.4945,28.505
0.98,1,-1.63413,5.45393,7.86511,7.86511,11.1101,12.9395,15.8767,15.8767,16.283,18.6379,20.1846,22.4429,23.2189,23.2189,28.2142,28.2172
1,1,-1.55834,5.27682,7.7939,7.7939,11.0418,12.8377,16.061,16.061,16.447,18.7284,20.4433,22.582,23.3617,23.3617,27.9345,27.9345
1.02,1,-1.47961,5.10058,7.72486,7.72486,10.9769,12.7282,16.2473,16.2473,16.6235,18.8227,20.7059,22.7282,23.5084,23.5084,27.6572,27.6572
1.04,1,-1.39797,4.92527,7.6581,7.6581,10.9156,12.6138,16.4357,16.4357,16.8098,18.9206,20.9722,22.8817,23.6581,23.6581,27.3865,27.3865
1.06,1,-1.31342,4.7509,7.59371,7.59371,10.8579,12.4966,16.6258,16.6258,17.0038,19.0222,21.2418,23.0425,23.8093,23.8093,27.1236,27.1236
1.08,1,-1.22601,4.57752,7.53177,7.53177,10.8039,12.3783,16.8178,16.8178,17.2039,19.1275,21.5146,23.2105,23.9599,23.9599,26.8663,26.8708
1.1,1,-1.13574,4.40515,7.47235,7.47235,10.7537,12.2602,17.0114,17.0114,17.409,19.2365,21.7899,23.3858,24.1063,24.1063,26.6074,26.6315
1.12,1,-1.04265,4.23385,7.41552,7.41552,10.7074,12.1432,17.2067,17.2067,17.6179,19.3492,22.0672,23.5683,24.2425,24.2425,26.3522,26.4117
1.14,1,-0.946764,4.06365,7.36133,7.36133,10.665,12.0282,17.4035,17.4035,17.83,19.4656,22.3456,23.7581,24.3587,24.3587,26.1006,26.221
1.16,1,-0.848101,3.89458,7.30984,7.30984,10.6266,11.9156,17.6018,17.6018,18.0446,19.5856,22.6236,23.9551,24.4393,24.4393,25.8526,26.0751
1.18,1,-0.746694,3.7267,7.26109,7.26109,10.5921,11.8061,17.8016,17.8016,18.2614,19.7094,22.8992,24.1593,24.4645,24.4645,25.6082,25.9936
1.2,1,-0.642572,3.56005,7.21513,7.21513,10.5618,11.6999,18.0029,18.0029,18.4799,19.8368,23.1685,24.3707,24.4204,24.4204,25.3675,25.9436
1.22,1,-0.535765,3.39468,7.17199,7.17199,10.5356,11.5975,18.2056,18.2056,18.6998,19.9679,23.4246,24.3108,24.3108,24.5893,25.1303,25.7307
1.24,1,-0.426306,3.23064,7.1317,7.1317,10.5135,11.4989,18.4096,18.4096,18.9209,20.1027,23.6548,24.153,24.153,24.8149,24.8968,25.5501
1.26,1,-0.314227,3.06797,7.0943,7.0943,10.4956,11.4043,18.6151,18.6151,19.1432,20.2412,23.8352,23.9645,23.9645,24.667,25.0474,25.4254
1.28,1,-0.199564,2.90672,7.05981,7.05981,10.482,11.3141,18.8218,18.8218,19.3663,20.3833,23.758,23.758,23.9311,24.4407,25.2868,25.3911
1.3,1,-0.0823518,2.74696,7.02826,7.02826,10.4727,11.2281,19.0299,19.0299,19.5902,20.5292,23.5409,23.5409,23.9194,24.2181,25.4703,25.5329
1.32,1,0.0373716,2.58873,6.99967,6.99967,10.4677,11.1467,19.2393,19.2393,19.815,20.6787,23.3179,23.3179,23.8157,23.9991,25.647,25.7854
1.34,1,0.159568,2.43208,6.97405,6.97405,10.467,11.0697,19.45,19.45,20.0404,20.8319,23.0918,23.0918,23.6547,23.7838,25.8861,26.0442
1.36,1,0.284197,2.27708,6.95143,6.95143,10.4708,10.9973,19.6617,19.6617,20.2665,20.9888,22.8643,22.8643,23.4623,23.5721,26.1611,26.3088
1.38,1,0.411218,2.12376,6.93181,6.93181,10.479,10.9295,19.8745,19.8745,20.4932,21.1493,22.6367,22.6367,23.2531,23.3641,26.457,26.5786
1.4,1,0.540589,1.9722,6.9152,6.9152,10.4916,10.8663,20.0879,20.0879,20.7206,21.3135,22.4101,22.4101,23.0346,23.1597,26.7649,26.8529
1.42,1,0.672264,1.82243,6.90163,6.90163,10.5088,10.8078,20.3014,20.3014,20.9486,21.4814,22.1855,22.1855,22.8108,22.959,27.0785,27.1302
1.44,1,0.8062,1.67452,6.89109,6.89109,10.5304,10.7539,20.5137,20.5137,21.1772,21.653,21.9646,21.9646,22.5841,22.7619,27.3907,27.4074
1.46,1,0.942349,1.52852,6.8836,6.8836,10.5567,10.7047,20.7213,20.7213,21.4063,21.7512,21.7512,21.8282,22.3558,22.5685,27.6783,27.6886
1.48,1,1.08066,1.38448,6.87915,6.87915,10.5875,10.6601,20.9115,20.9115,21.5579,21.5579,21.636,22.0071,22.1267,22.3788,27.9259,27.9384
1.5,1,1.2211,1.24246,6.87776,6.87776,10.6202,10.6229,21.0244,21.0244,21.4451,21.4451,21.866,21.8974,22.1897,22.1927,28.0523,28.0985
1.5,-1,1.2408,1.24171,6.88534,6.89566,10.6262,10.6267,21.0459,21.0696,21.472,21.4738,21.9004,21.9032,22.2436,22.3221,28.0618,28.0981
1.52,-1,1.23728,1.24502,6.86334,6.8973,10.6289,10.6623,20.9012,20.9711,21.2688,21.3199,22.0476,22.1071,22.3975,22.4165,27.9052,28.0648
1.54,-1,1.22911,1.2557,6.80499,6.9042,10.6376,10.7601,20.6343,20.7962,20.9746,21.0561,22.3266,22.4081,22.5912,22.6668,27.6099,28.069
1.56,-1,1.21611,1.27375,6.71652,6.91633,10.6523,10.9143,20.3324,20.5821,20.6692,20.7622,22.6497,22.7261,22.8089,22.9715,27.2905,28.0548
1.58,-1,1.19795,1.29917,6.60597,6.93368,10.673,11.1171,20.0214,20.3498,20.364,20.4601,22.9906,23.0487,23.0491,23.2892,26.9673,27.949
1.6,-1,1.17419,1.33196,6.48152,6.95618,10.6995,11.3605,19.7098,20.062,20.1094,20.157,23.3002,23.3398,23.3731,23.6121,26.647,27.7136
1.62,-1,1.14434,1.3721,6.35051,6.98377,10.7319,11.6378,19.401,19.7646,19.8558,19.8665,23.5578,23.6925,23.6951,23.9364,26.3329,27.4299
1.64,-1,1.10784,1.41961,6.21905,7.01639,10.7701,11.9433,19.0969,19.4726,19.5581,19.624,23.8184,24.0118,24.0447,24.2597,26.0281,27.1367
1.66,-1,1.06411,1.47446,6.09205,7.05393,10.8139,12.2724,18.7985,19.1864,19.2648,19.384,24.0798,24.317,24.392,24.5801,25.7378,26.8469
1.68,-1,1.01264,1.53667,5.9734,7.0963,10.8632,12.6216,18.5065,18.9067,18.9765,19.1477,24.3407,24.5925,24.7265,24.8958,25.479,26.5695
1.7,-1,0.952975,1.60622,5.8661,7.14338,10.9179,12.9879,18.2218,18.6336,18.6935,18.9161,24.6002,24.759,25.031,25.2054,25.3297,26.3213
1.72,-1,0.884824,1.68311,5.77242,7.19503,10.9779,13.3688,17.945,18.3675,18.4161,18.69,24.6686,24.8577,25.255,25.436,25.5076,26.151
1.74,-1,0.808064,1.76733,5.69397,7.25108,11.0428,13.7621,17.6771,18.1087,18.1447,18.4701,24.4427,25.1125,25.2899,25.6748,25.8014,26.165
1.75,-1,0.766475,1.81218,5.66082,7.28071,11.077,13.9625,17.547,17.9822,18.0113,18.3626,24.3175,25.2288,25.2389,25.8046,25.9449,26.248
1.75,1,0.766475,1.81218,5.66082,7.28071,11.077,13.9625,17.547,17.9822,18.0113,18.3626,24.3175,25.2288,25.2389,25.8046,25.9449,26.248
