Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-3.20109,2.29879,6.44031,6.44031,8.66062,12.1068,12.1068,15.4517,17.0966,17.8831,17.8831,18.1866,19.0482,19.0482,25.2836,25.732
0.02,-1,-3.20662,2.3114,6.44188,6.44188,8.6636,12.1093,12.1093,15.4556,16.9273,17.7658,17.7658,18.3616,19.1774,19.1774,24.7696,26.2562
0.04,-1,-3.22168,2.34836,6.44769,6.44769,8.67284,12.1169,12.1169,15.467,16.6104,17.5211,17.5211,18.7024,19.46,19.46,24.1951,26.8632
0.06,-1,-3.24576,2.40915,6.4577,6.4577,8.68824,12.1295,12.1295,15.4812,16.2568,17.2338,17.2338,19.1013,19.8114,19.8114,23.6286,26.425
0.08,-1,-3.27809,2.49291,6.47184,6.47184,8.70958,12.1463,12.1463,15.4762,15.9216,16.9381,16.9381,19.5226,20.1974,20.1974,23.0791,25.9294
0.1,-1,-3.31765,2.59855,6.49001,6.49001,8.73654,12.1666,12.1666,15.3401,15.7275,16.6477,16.6477,19.948,20.6049,20.6049,22.5557,25.4451
0.12,-1,-3.36333,2.72482,6.51208,6.51208,8.76867,12.189,12.189,15.0298,15.7217,16.3692,16.3692,20.3504,21.0272,21.0272,22.0827,24.974
0.14,-1,-3.4139,2.87036,6.53788,6.53788,8.80535,12.2121,12.2121,14.6797,15.7717,16.1069,16.1069,20.635,21.459,21.459,21.7541,24.5195
0.16,-1,-3.46814,3.03378,6.5672,6.5672,8.84574,12.2338,12.2338,14.3273,15.8406,15.8642,15.8642,20.568,21.8041,21.892,21.892,24.0887
0.18,-1,-3.52486,3.21366,6.59981,6.59981,8.8887,12.2519,12.2519,13.981,15.6444,15.6444,15.9201,20.22,22.163,22.3028,22.3028,23.7047
0.2,-1,-3.58294,3.40865,6.63539,6.63539,8.93269,12.2636,12.2636,13.6445,15.4507,15.4507,16.0056,19.8054,22.5852,22.5852,22.6178,23.4736
0.22,-1,-3.64134,3.61742,6.6736,6.6736,8.97563,12.2662,12.2662,13.3205,15.2862,15.2862,16.0927,19.3904,22.4993,22.4993,23.1037,23.6355
0.24,-1,-3.69912,3.83872,6.71401,6.71401,9.01472,12.257,12.257,13.012,15.1537,15.1537,16.1748,18.9979,22.1881,22.1881,23.5936,24.0475
0.26,-1,-3.75545,4.07134,6.75615,6.75615,9.04625,12.2343,12.2343,12.7222,15.0551,15.0551,16.2416,18.6446,21.8331,21.8331,24.0106,24.5288
0.28,-1,-3.80958,4.31411,6.79944,6.79944,9.06537,12.1974,12.1974,12.4557,14.9907,14.9907,16.2768,18.3499,21.476,21.476,23.9676,24.8706
0.3,-1,-3.86086,4.56591,6.84326,6.84326,9.0661,12.1471,12.1471,12.2176,14.9595,14.9595,16.2588,18.1374,21.1285,21.1285,23.6043,25.3578
