Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-2.37813,2.36912,6.86069,6.86069,9.62585,12.7175,12.7175,16.4479,18.7052,18.7052,18.7207,19.8867,20.2202,20.2202,26.8899,27.2535
0.02,-1,-2.38648,2.38545,6.86255,6.86255,9.62917,12.72,12.72,16.4524,18.5523,18.6033,18.6033,20.0622,20.3348,20.3348,26.3086,27.8449
0.04,-1,-2.40926,2.43278,6.86913,6.86913,9.63954,12.7282,12.7282,16.465,18.2182,18.3714,18.3714,20.4214,20.6066,20.6066,25.6842,28.5044
0.06,-1,-2.44547,2.51007,6.88037,6.88037,9.6569,12.7415,12.7415,16.483,17.8394,18.0845,18.0845,20.8445,20.9609,20.9609,25.0723,28.0178
0.08,-1,-2.49359,2.61571,6.89621,6.89621,9.68112,12.7594,12.7594,16.4972,17.4619,17.781,17.781,21.29,21.3595,21.3595,24.4813,27.4907
0.1,-1,-2.55175,2.74777,6.91653,6.91653,9.71201,12.7809,12.7809,16.4764,17.129,17.4782,17.4782,21.733,21.7855,21.7855,23.9253,26.9753
0.12,-1,-2.61796,2.9041,6.94122,6.94122,9.74931,12.8047,12.8047,16.3312,16.9346,17.1852,17.1852,22.1183,22.23,22.23,23.456,26.4741
0.14,-1,-2.6902,3.08252,6.9701,6.9701,9.79265,12.8291,12.8291,16.033,16.9073,16.9073,16.9092,22.2271,22.6869,22.6869,23.2909,25.9901
0.16,-1,-2.76656,3.28093,7.00294,7.00294,9.84151,12.8521,12.8521,15.6755,16.6489,16.6489,16.9598,21.908,23.1476,23.1476,23.5814,25.5301
0.18,-1,-2.84527,3.49732,7.0395,7.0395,9.89521,12.871,12.871,15.3044,16.4138,16.4138,17.0405,21.4469,23.59,23.59,24.042,25.1156
0.2,-1,-2.92479,3.72984,7.07946,7.07946,9.95278,12.8829,12.8829,14.9333,16.2056,16.2056,17.1369,20.9672,23.914,23.914,24.5498,24.8463
0.22,-1,-3.00375,3.97679,7.12243,7.12243,10.0129,12.8848,12.8848,14.5677,16.0281,16.0281,17.2415,20.499,23.8518,23.8518,24.9899,24.9899
0.24,-1,-3.08098,4.23658,7.16797,7.16797,10.0737,12.8736,12.8736,14.2107,15.8842,15.8842,17.3471,20.0565,23.5278,23.5278,25.4225,25.4225
0.26,-1,-3.15548,4.50772,7.21556,7.21556,10.1325,12.8474,12.8474,13.8655,15.7761,15.7761,17.4426,19.6541,23.1533,23.1533,25.8149,25.9331
0.28,-1,-3.22642,4.78875,7.26458,7.26458,10.1856,12.8053,12.8053,13.5356,15.7045,15.7045,17.5083,19.3137,22.7766,22.7766,25.4927,26.4741
0.3,-1,-3.29306,5.07823,7.31433,7.31433,10.2277,12.7484,12.7484,13.2257,15.6681,15.6681,17.5115,19.0695,22.4106,22.4106,25.0623,27.0338
0.32,-1,-3.35483,5.37463,7.36401,7.36401,10.2516,12.6792,12.6792,12.9426,15.6635,15.6635,17.4196,18.9562,22.0607,22.0607,24.627,27.608
0.34,-1,-3.41123,5.67624,7.4127,7.4127,10.2478,12.6017,12.6017,12.6947,15.686,15.686,17.236,18.9717,21.7306,21.7306,24.2008,28.1946
0.36,-1,-3.46183,5.98106,7.45943,7.45943,10.2061,12.4914,12.5203,12.5203,15.7298,15.7298,17.0005,19.0783,21.4237,21.4237,23.7881,28.7925
0.38,-1,-3.5063,6.2865,7.50312,7.50312,10.1185,12.34,12.4396,12.4396,15.7884,15.7884,16.7512,19.2395,21.1432,21.1432,23.3916,29.4007
0.4,-1,-3.54436,6.58893,7.54266,7.54266,9.98402,12.241,12.3638,12.3638,15.8552,15.8552,16.5125,19.4325,20.8933,20.8933,23.0144,30.0178
0.42,-1,-3.57578,6.88282,7.57694,7.57694,9.81108,12.187,12.2965,12.2965,15.9233,15.9233,16.2995,19.6424,20.6784,20.6784,22.6609,30.6422
0.44,-1,-3.6004,7.15882,7.6049,7.6049,9.617,12.165,12.241,12.241,15.9858,15.9858,16.1225,19.8558,20.5036,20.5036,22.3392,31.2704
0.46,-1,-3.61807,7.4,7.62563,7.62563,9.42749,12.161,12.1996,12.1996,15.9897,16.0362,16.0362,20.0544,20.3738,20.3738,22.0647,31.8931
0.48,-1,-3.62871,7.57579,7.63837,7.63837,9.27996,12.1637,12.174,12.174,15.9072,16.0691,16.0691,20.2068,20.2937,20.2937,21.8673,32.4773
0.5,-1,-3.63226,7.64268,7.64268,7.64268,9.22205,12.1654,12.1654,12.1654,15.8793,16.0805,16.0805,20.2667,20.2667,20.2667,21.7925,32.817
