Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-2.78604,1.88261,5.47025,5.47025,7.53848,10.4937,10.4937,13.4786,15.1473,15.3716,15.3716,15.6213,16.6249,16.6249,21.939,22.2849
0.02,-1,-2.79081,1.89364,5.47169,5.47169,7.54101,10.4958,10.4958,13.477,14.9353,15.2893,15.2893,15.844,16.7175,16.7175,21.4805,22.7524
0.04,-1,-2.80415,1.92615,5.47677,5.47677,7.54889,10.5021,10.5021,13.4704,14.6268,15.1036,15.1036,16.1916,16.9361,16.9361,20.9754,23.2864
0.06,-1,-2.82557,1.97963,5.48545,5.48545,7.56199,10.5125,10.5125,13.4465,14.3324,14.8734,14.8734,16.5648,17.2221,17.2221,20.4781,22.9797
0.08,-1,-2.85439,2.05331,5.49768,5.49768,7.58013,10.5264,10.5264,13.3749,14.0963,14.6298,14.6298,16.948,17.5445,17.5445,19.9945,22.55
0.1,-1,-2.88967,2.14622,5.51336,5.51336,7.60302,10.543,10.543,13.2151,13.9624,14.3868,14.3868,17.3323,17.8894,17.8894,19.5312,22.1302
0.12,-1,-2.93039,2.2572,5.53238,5.53238,7.63025,10.5612,10.5612,12.9741,13.9254,14.1519,14.1519,17.6993,18.2494,18.2494,19.1064,21.7224
0.14,-1,-2.97544,2.38504,5.55459,5.55459,7.66126,10.5798,10.5798,12.6937,13.9297,13.9297,13.9438,17.9649,18.6191,18.6191,18.8043,21.3293
0.16,-1,-3.02372,2.52848,5.57982,5.57982,7.6953,10.5969,10.5969,12.4009,13.7235,13.7235,13.9913,17.8815,18.8731,18.9908,18.9908,20.9571
0.18,-1,-3.07417,2.68628,5.60783,5.60783,7.73135,10.6107,10.6107,12.1073,13.5366,13.5366,14.0558,17.5481,19.2148,19.3446,19.3446,20.6251
0.2,-1,-3.12577,2.85721,5.63837,5.63837,7.76801,10.6188,10.6188,11.819,13.3719,13.3719,14.1312,17.1699,19.5973,19.5973,19.6256,20.4162
0.22,-1,-3.17761,3.04011,5.67113,5.67113,7.80345,10.6188,10.6188,11.5397,13.2321,13.2321,14.2125,16.7953,19.5509,19.5509,20.0581,20.5284
0.24,-1,-3.22885,3.23388,5.70574,5.70574,7.83515,10.6087,10.6087,11.2727,13.1195,13.1195,14.2936,16.4405,19.2954,19.2954,20.4946,20.8718
0.26,-1,-3.27876,3.43744,5.74179,5.74179,7.85982,10.587,10.587,11.0214,13.0356,13.0356,14.3647,16.119,18.9939,18.9939,20.8863,21.2839
0.28,-1,-3.32668,3.64979,5.77879,5.77879,7.87318,10.5533,10.5533,10.79,12.9809,12.9809,14.4083,15.8504,18.6884,18.6884,20.9102,21.6058
0.3,-1,-3.37206,3.86993,5.81618,5.81618,7.86998,10.5084,10.5084,10.5832,12.9541,12.9541,14.3967,15.6637,18.3905,18.3905,20.5998,22.0259
0.32,-1,-3.41439,4.09687,5.85336,5.85336,7.84432,10.4062,10.4544,10.4544,12.9526,12.9526,14.3059,15.5842,18.1051,18.1051,20.2533,22.5029
0.34,-1,-3.45326,4.32959,5.88965,5.88965,7.79057,10.2635,10.3944,10.3944,12.9727,12.9727,14.1439,15.6054,17.8355,17.8355,19.9093,22.9985
0.36,-1,-3.48832,4.56703,5.92431,5.92431,7.70479,10.1578,10.3316,10.3316,13.0098,13.0098,13.9436,15.6957,17.5844,17.5844,19.5752,23.5059
0.38,-1,-3.51926,4.80798,5.95657,5.95657,7.58608,10.0883,10.2695,10.2695,13.0588,13.0588,13.7344,15.8272,17.3547,17.3547,19.2545,24.0232
0.4,-1,-3.54583,5.05097,5.98564,5.98564,7.43701,10.0504,10.2114,10.2114,13.1143,13.1143,13.5347,15.9824,17.1496,17.1496,18.9499,24.5495
0.42,-1,-3.56783,5.294,6.01074,6.01074,7.26298,10.0368,10.16,10.16,13.1709,13.1709,13.3563,16.1497,16.9731,16.9731,18.6658,25.0843
0.44,-1,-3.58511,5.53381,6.03114,6.03114,7.07151,10.0388,10.1176,10.1176,13.2077,13.2229,13.2229,16.3182,16.8292,16.8292,18.4089,25.6271
0.46,-1,-3.59753,5.7635,6.04621,6.04621,6.87338,10.0478,10.086,10.086,13.0959,13.265,13.265,16.4728,16.7223,16.7223,18.1923,26.1775
0.48,-1,-3.60502,5.9627,6.05546,6.05546,6.69193,10.0565,10.0665,10.0665,13.0263,13.2923,13.2923,16.5891,16.6563,16.6563,18.0393,26.6982
0.5,-1,-3.60752,6.05858,6.05858,6.05858,6.60177,10.06,10.06,10.06,13.0027,13.3019,13.3019,16.6339,16.6339,16.6339,17.9822,27.0857
0.5,1,-3.60752,6.05858,6.05858,6.05858,6.60177,10.06,10.06,10.06,13.0027,13.3019,13.3019,16.6339,16.6339,16.6339,17.9822,27.0857
0.52,1,-3.60669,6.02595,6.05617,6.05617,6.63525,10.0548,10.0642,10.0642,13.0106,13.2941,13.3032,16.6288,16.6362,16.6362,18.0017,26.9182
0.54,1,-3.60419,5.94471,6.04896,6.04896,6.71905,10.0394,10.0767,10.0767,13.034,13.2712,13.3073,16.6148,16.643,16.643,18.0589,26.6592
0.56,1,-3.60002,5.83913,6.03708,6.03708,6.82884,10.0144,10.0975,10.0975,13.0721,13.234,13.3141,16.5952,16.6544,16.6544,18.1499,26.3906
0.58,1,-3.5942,5.72247,6.02068,6.02068,6.95131,9.98043,10.1263,10.1263,13.1205,13.1872,13.3236,16.5736,16.6703,16.6703,18.2699,26.1209
0.6,1,-3.58673,5.60067,5.99999,5.99999,7.08045,9.93852,10.163,10.163,13.1088,13.2015,13.3358,16.5537,16.6908,16.6908,18.4144,25.8524
0.62,1,-3.57762,5.47649,5.97528,5.97528,7.21334,9.88971,10.2072,10.2072,13.0367,13.2776,13.3507,16.5379,16.7158,16.7158,18.5794,25.5857
0.64,1,-3.56689,5.35137,5.94687,5.94687,7.34843,9.83508,10.2586,10.2586,12.9525,13.3679,13.3683,16.5278,16.7454,16.7454,18.7618,25.3211
0.66,1,-3.55456,5.2261,5.91509,5.91509,7.48473,9.77566,10.317,10.317,12.8601,13.3886,13.469,16.5245,16.7795,16.7795,18.9591,25.0588
0.68,1,-3.54063,5.10116,5.88028,5.88028,7.6215,9.71244,10.3818,10.3818,12.7616,13.4116,13.5796,16.5285,16.8181,16.8181,19.1692,24.799
0.7,1,-3.52515,4.97688,5.8428,5.8428,7.75814,9.64628,10.4529,10.4529,12.6587,13.4373,13.6989,16.5397,16.8612,16.8612,19.3908,24.5417
0.72,1,-3.50812,4.85346,5.80301,5.80301,7.89407,9.57797,10.5297,10.5297,12.5533,13.4657,13.826,16.5583,16.9088,16.9088,19.6224,24.2869
0.74,1,-3.48959,4.73106,5.76125,5.76125,8.02868,9.5082,10.612,10.612,12.4469,13.4968,13.9601,16.584,16.9609,16.9609,19.8631,24.0348
0.76,1,-3.46958,4.60982,5.71784,5.71784,8.1613,9.43758,10.6993,10.6993,12.3411,13.5305,14.1006,16.6165,17.0174,17.0174,20.112,23.7854
0.78,1,-3.44812,4.48982,5.67311,5.67311,8.29114,9.36663,10.7914,10.7914,12.2376,13.5669,14.2471,16.6558,17.0784,17.0784,20.3684,23.5387
0.8,1,-3.42527,4.37115,5.62734,5.62734,8.41726,9.29586,10.888,10.888,12.1381,13.606,14.399,16.7015,17.1437,17.1437,20.6315,23.2948
0.82,1,-3.40106,4.25388,5.58083,5.58083,8.53854,9.22574,10.9887,10.9887,12.0441,13.6477,14.556,16.7534,17.2133,17.2133,20.9008,23.0537
0.84,1,-3.37553,4.13808,5.53381,5.53381,8.6535,9.15684,11.0933,11.0933,11.9575,13.692,14.7177,16.8114,17.2871,17.2871,21.1752,22.8156
0.86,1,-3.34875,4.02381,5.48654,5.48654,8.76,9.09016,11.2015,11.2015,11.8802,13.739,14.8837,16.8754,17.3651,17.3651,21.453,22.5806
0.88,1,-3.32076,3.91114,5.43922,5.43922,8.85324,9.02916,11.3132,11.3132,11.8141,13.7886,15.0538,16.9452,17.4471,17.4471,21.7283,22.3488
0.9,1,-3.29163,3.80013,5.39206,5.39206,8.90535,9.00017,11.428,11.428,11.7615,13.8408,15.2276,17.0207,17.5328,17.5328,21.9431,22.1203
0.92,1,-3.26142,3.69084,5.34525,5.34525,8.8705,9.04743,11.5458,11.5458,11.7244,13.8955,15.405,17.1019,17.6222,17.6222,21.8339,21.8954
0.94,1,-3.23022,3.58335,5.29894,5.29894,8.8133,9.1049,11.6664,11.6664,11.7047,13.9528,15.5857,17.1888,17.7148,17.7148,21.6147,21.6745
0.96,1,-3.19809,3.47773,5.25329,5.25329,8.75436,9.15086,11.7037,11.7896,11.7896,14.0127,15.7693,17.2814,17.8103,17.8103,21.3866,21.4579
0.98,1,-3.16512,3.37404,5.20844,5.20844,8.69638,9.18211,11.7224,11.9153,11.9153,14.075,15.9557,17.3796,17.908,17.908,21.1582,21.2461
1,1,-3.13141,3.27239,5.16451,5.16451,8.64008,9.19814,11.7608,12.0434,12.0434,14.1398,16.1444,17.4836,18.0072,18.0072,20.9312,21.0401
1.02,1,-3.09705,3.17285,5.12163,5.12163,8.58577,9.19961,11.8181,12.1737,12.1737,14.207,16.3351,17.5935,18.1066,18.1066,20.7064,20.841
1.04,1,-3.06215,3.07552,5.07988,5.07988,8.53364,9.18792,11.8931,12.3062,12.3062,14.2766,16.5273,17.7093,18.2045,18.2045,20.4843,20.6505
1.06,1,-3.02682,2.98052,5.03938,5.03938,8.4838,9.16489,11.9838,12.4406,12.4406,14.3486,16.7204,17.8314,18.2982,18.2982,20.2651,20.4712
1.08,1,-2.99119,2.88794,5.0002,5.0002,8.43634,9.13254,12.0885,12.577,12.577,14.4228,16.9136,17.9598,18.3837,18.3837,20.0496,20.3071
1.1,1,-2.95539,2.79792,4.96243,4.96243,8.39134,9.09284,12.2051,12.7153,12.7153,14.4992,17.1058,18.0948,18.4551,18.4551,19.8384,20.164
1.12,1,-2.91956,2.71059,4.92613,4.92613,8.34886,9.04762,12.3318,12.8553,12.8553,14.5778,17.2954,18.2367,18.5043,18.5043,19.6329,20.0501
1.14,1,-2.88385,2.62608,4.89137,4.89137,8.30893,8.99848,12.4672,12.9971,12.9971,14.6584,17.4795,18.3859,18.5215,18.5215,19.4354,19.9751
1.16,1,-2.84843,2.54456,4.85821,4.85821,8.27161,8.9468,12.61,13.1405,13.1405,14.7409,17.6536,18.4989,18.4989,18.5424,19.2504,19.8646
1.18,1,-2.81346,2.46618,4.8267,4.8267,8.23691,8.89374,12.7589,13.2856,13.2856,14.8251,17.8086,18.4353,18.4353,18.7053,19.0876,19.6891
1.2,1,-2.77912,2.39111,4.7969,4.7969,8.20486,8.84026,12.9131,13.4323,13.4323,14.911,17.9268,18.3363,18.3363,18.8614,18.978,19.5176
1.22,1,-2.74559,2.31953,4.76883,4.76883,8.17546,8.78715,13.0717,13.5805,13.5805,14.9982,17.9787,18.211,18.211,18.8812,19.0804,19.3502
1.24,1,-2.71308,2.25164,4.74256,4.74256,8.14872,8.73511,13.2343,13.7302,13.7302,15.0865,17.9424,18.0677,18.0677,18.9144,19.1872,19.2667
1.26,1,-2.68179,2.18764,4.7181,4.7181,8.12462,8.68469,13.4002,13.8814,13.8814,15.1757,17.8337,17.9127,17.9127,19.0162,19.029,19.4658
1.28,1,-2.65191,2.12771,4.69549,4.69549,8.10313,8.63637,13.5691,14.0341,14.0341,15.2652,17.684,17.7501,17.7501,18.8759,19.1588,19.674
1.3,1,-2.62367,2.07208,4.67476,4.67476,8.08421,8.59059,13.7405,14.1882,14.1882,15.3546,17.514,17.5829,17.5829,18.7284,19.3222,19.8901
1.32,1,-2.59727,2.02094,4.65594,4.65594,8.0678,8.5477,13.9142,14.3438,14.3438,15.4431,17.3339,17.4129,17.4129,18.5874,19.4968,20.1134
1.34,1,-2.57292,1.9745,4.63905,4.63905,8.05381,8.50807,14.0899,14.5007,14.5007,15.53,17.1487,17.2413,17.2413,18.4535,19.6778,20.3428
1.36,1,-2.55082,1.93297,4.62411,4.62411,8.04212,8.47201,14.2673,14.659,14.659,15.6142,16.9611,17.0691,17.0691,18.3279,19.8625,20.5777
1.38,1,-2.53117,1.89653,4.61113,4.61113,8.0326,8.43984,14.4462,14.8186,14.8186,15.6943,16.7726,16.8968,16.8968,18.2119,20.0492,20.8172
1.4,1,-2.51414,1.86535,4.60014,4.60014,8.02508,8.41187,14.6262,14.9795,14.9795,15.7685,16.5841,16.7251,16.7251,18.1073,20.236,21.0601
1.42,1,-2.4999,1.83961,4.59114,4.59114,8.01935,8.3884,14.807,15.1415,15.1415,15.8347,16.3966,16.5543,16.5543,18.0163,20.4202,21.3046
1.44,1,-2.48858,1.81944,4.58414,4.58414,8.01522,8.36974,14.9877,15.3042,15.3042,15.8905,16.211,16.3849,16.3849,17.9412,20.5973,21.547
1.46,1,-2.48029,1.80495,4.57915,4.57915,8.01248,8.35616,15.1663,15.467,15.467,15.9332,16.0295,16.2178,16.2178,17.8848,20.7591,21.7746
1.48,1,-2.47513,1.79622,4.57617,4.57617,8.01095,8.34788,15.3358,15.6265,15.6265,15.8593,15.9602,16.0565,16.0565,17.8496,20.8901,21.9381
1.5,1,-2.47314,1.7933,4.57522,4.57522,8.01052,8.34505,15.4533,15.7433,15.7529,15.7529,15.9309,15.9309,15.9698,17.8374,20.9647,21.9734
1.5,-1,-2.46959,1.7941,4.59005,4.59517,8.01792,8.36422,15.4807,15.7134,15.7802,15.9018,15.9231,15.998,16.1409,17.9291,20.9486,21.9799
1.52,-1,-2.46986,1.79488,4.57695,4.59578,8.02859,8.37711,15.3415,15.4773,15.6991,15.7458,16.1189,16.151,16.3603,17.9616,20.9066,21.8906
1.54,-1,-2.46997,1.7977,4.54498,4.59982,8.05554,8.41564,15.1347,15.2426,15.4747,15.6704,16.3358,16.3791,16.5896,18.0321,20.8185,21.7661
1.56,-1,-2.46996,1.80252,4.49652,4.60728,8.09148,8.48478,14.9114,15.012,15.2511,15.5668,16.5646,16.6164,16.8212,18.1336,20.6883,21.6298
