Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-7.84205,2.47418,5.81879,5.81879,11.3062,14.6714,14.6714,19.3127,20.5688,20.5688,20.5889,22.4682,24.0619,24.0619,32.4256,33.589
0.02,-1,-7.84506,2.4843,5.82002,5.82002,11.3083,14.6758,14.6758,19.289,20.4553,20.5059,20.5059,22.6245,24.1383,24.1383,31.9223,33.1582
0.04,-1,-7.85315,2.51529,5.82489,5.82489,11.3155,14.69,14.69,19.221,20.2201,20.347,20.347,22.9532,24.3409,24.3409,31.3075,32.5843
0.06,-1,-7.86616,2.56692,5.83334,5.83334,11.3275,14.7139,14.7139,19.0664,20.0112,20.1191,20.1191,23.366,24.6425,24.6425,30.6901,31.9899
0.08,-1,-7.8838,2.63879,5.84527,5.84527,11.3436,14.7469,14.7469,18.7975,19.8491,19.8491,19.9002,23.8141,25.0165,25.0165,30.0956,31.3974
0.1,-1,-7.90572,2.73035,5.86056,5.86056,11.3631,14.7886,14.7886,18.4467,19.5571,19.5571,19.8744,24.2679,25.4429,25.4429,29.5408,30.814
0.12,-1,-7.93144,2.84094,5.87905,5.87905,11.3848,14.8379,14.8379,18.0593,19.2572,19.2572,19.8986,24.6989,25.9075,25.9075,29.0481,30.2436
0.14,-1,-7.96047,2.96974,5.90054,5.90054,11.4074,14.8939,14.8939,17.6614,18.9588,18.9588,19.9523,25.0663,26.4001,26.4001,28.6557,29.6897
0.16,-1,-7.99222,3.11585,5.92477,5.92477,11.4287,14.9549,14.9549,17.2668,18.669,18.669,20.0257,25.307,26.9092,26.9092,28.4257,29.1593
0.18,-1,-8.02611,3.27826,5.95147,5.95147,11.4465,15.0189,15.0189,16.8837,18.3933,18.3933,20.1133,25.3555,27.407,27.407,28.4235,28.6777
0.2,-1,-8.06153,3.45584,5.98031,5.98031,11.4574,15.083,15.083,16.5185,18.1368,18.1368,20.2114,25.2081,27.7051,27.7051,28.4314,28.4314
0.22,-1,-8.09786,3.64737,6.01092,6.01092,11.4576,15.1437,15.1437,16.1767,17.9046,17.9046,20.3166,24.9299,27.4365,27.4365,28.7866,28.7866
0.24,-1,-8.1345,3.8515,6.04289,6.04289,11.4427,15.1964,15.1964,15.8638,17.7021,17.7021,20.4251,24.5904,26.9996,26.9996,29.3447,29.3447
0.26,-1,-8.17087,4.06675,6.07576,6.07576,11.4077,15.2361,15.2361,15.5853,17.5349,17.5349,20.5317,24.2355,26.5519,26.5519,29.9484,29.9484
0.28,-1,-8.20642,4.29144,6.10904,6.10904,11.3479,15.2573,15.2573,15.3463,17.4081,17.4081,20.6296,23.894,26.1156,26.1156,30.4305,30.5758
0.3,-1,-8.24063,4.52364,6.14219,6.14219,11.2596,15.1505,15.2564,15.2564,17.3252,17.3252,20.7094,23.5873,25.6976,25.6976,30.181,31.2213
