Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-7.10522,2.42055,5.60475,5.60475,10.3636,13.7516,13.7516,17.5256,19.1378,19.2605,19.2605,20.3175,22.2291,22.2291,29.6547,30.4666
0.02,-1,-7.10802,2.42987,5.60576,5.60576,10.3656,13.7554,13.7554,17.5015,18.9679,19.1975,19.1975,20.515,22.3048,22.3048,29.1176,30.7888
0.04,-1,-7.11541,2.45838,5.61019,5.61019,10.3721,13.7673,13.7673,17.4379,18.7022,19.0423,19.0423,20.8764,22.5007,22.5007,28.516,30.2399
0.06,-1,-7.12725,2.50586,5.618,5.618,10.3828,13.7872,13.7872,17.3074,18.4692,18.824,18.824,21.299,22.7883,22.7883,27.922,29.6845
0.08,-1,-7.14328,2.57195,5.62909,5.62909,10.3972,13.8146,13.8146,17.0881,18.3251,18.5692,18.5692,21.7448,23.1408,23.1408,27.35,29.1356
0.1,-1,-7.16317,2.65618,5.64335,5.64335,10.4144,13.8488,13.8488,16.7934,18.2696,18.2973,18.2973,22.1933,23.5391,23.5391,26.8113,28.5974
0.12,-1,-7.18651,2.75797,5.66061,5.66061,10.4334,13.8889,13.8889,16.457,18.021,18.021,18.2751,22.623,23.9704,23.9704,26.3241,28.0725
0.14,-1,-7.21284,2.87661,5.6807,5.6807,10.4527,13.9335,13.9335,16.1051,17.7491,17.7491,18.3192,22.9964,24.4249,24.4249,25.9242,27.5644
0.16,-1,-7.24165,3.01132,5.70339,5.70339,10.4702,13.9811,13.9811,15.7533,17.4878,17.4878,18.3895,23.2433,24.8915,24.8915,25.6816,27.0802
0.18,-1,-7.27239,3.16122,5.7284,5.7284,10.4835,14.0293,14.0293,15.4111,17.2425,17.2425,18.4789,23.2773,25.3426,25.3426,25.6831,26.645
0.2,-1,-7.30452,3.32534,5.75544,5.75544,10.4895,14.0754,14.0754,15.0853,17.0179,17.0179,18.5833,23.0954,25.6267,25.6267,25.9324,26.409
0.22,-1,-7.33747,3.50265,5.78416,5.78416,10.4841,14.1159,14.1159,14.782,16.8187,16.8187,18.6991,22.7863,25.4346,25.4346,26.3424,26.6807
0.24,-1,-7.37072,3.692,5.81417,5.81417,10.463,14.1468,14.1468,14.5066,16.6495,16.6495,18.8229,22.4265,25.0505,25.0505,26.8369,27.1756
0.26,-1,-7.40373,3.89216,5.84504,5.84504,10.4215,14.1642,14.1642,14.2647,16.5148,16.5148,18.95,22.0585,24.6444,24.6444,27.3654,27.724
0.28,-1,-7.43599,4.10172,5.8763,5.8763,10.3551,14.0608,14.1646,14.1646,16.4177,16.4177,19.0735,21.7073,24.2451,24.2451,27.6144,28.0829
0.3,-1,-7.46705,4.31911,5.90747,5.90747,10.2607,13.898,14.1466,14.1466,16.3595,16.3595,19.1823,21.3935,23.8607,23.8607,27.2011,28.6229
0.32,-1,-7.49646,4.54249,5.938,5.938,10.1374,13.7772,14.1112,14.1112,16.3381,16.3381,19.2583,21.1406,23.4956,23.4956,26.748,29.2383
