Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0,-1,-5.88848,2.0306,4.88326,4.88326,8.9314,11.9874,11.9874,15.0816,16.7032,16.7032,16.9276,17.3459,19.358,19.358,25.4207,26.1087
0.02,-1,-5.89098,2.03905,4.88423,4.88423,8.93334,11.9902,11.9902,15.0587,16.6511,16.6511,16.6795,17.6223,19.4211,19.4211,24.9535,26.5889
0.04,-1,-5.89785,2.06469,4.88826,4.88826,8.93959,11.999,11.999,14.9986,16.3934,16.523,16.523,18.0008,19.5853,19.5853,24.4224,26.422
0.06,-1,-5.90893,2.10731,4.89531,4.89531,8.94988,12.0137,12.0137,14.8839,16.164,16.3419,16.3419,18.4025,19.8278,19.8278,23.8959,25.9397
0.08,-1,-5.92398,2.16658,4.90529,4.90529,8.96377,12.0337,12.0337,14.7012,16.0163,16.1298,16.1298,18.8135,20.1267,20.1267,23.3862,25.4643
0.1,-1,-5.94266,2.24207,4.91811,4.91811,8.98061,12.0583,12.0583,14.4576,15.903,15.903,15.9475,19.2236,20.4657,20.4657,22.9024,24.9991
0.12,-1,-5.96459,2.33321,4.93363,4.93363,8.99948,12.0866,12.0866,14.1755,15.6729,15.6729,15.9378,19.6168,20.8335,20.8335,22.46,24.5464
0.14,-1,-5.98931,2.43937,4.95167,4.95167,9.01914,12.1173,12.1173,13.8758,15.4472,15.4472,15.9683,19.9579,21.2212,21.2212,22.0943,24.1094
0.16,-1,-6.01633,2.55982,4.97204,4.97204,9.03795,12.1487,12.1487,13.5725,15.2317,15.2317,16.0269,20.1655,21.6187,21.6187,21.8866,23.6946
0.18,-1,-6.04515,2.69377,4.9945,4.9945,9.05376,12.1788,12.1788,13.2749,15.0312,15.0312,16.1066,20.1369,21.9402,22.0026,22.0026,23.3232
0.2,-1,-6.07522,2.84033,5.01878,5.01878,9.06384,12.2049,12.2049,12.9896,14.8501,14.8501,16.2031,19.9027,22.2248,22.2726,22.2726,23.0942
0.22,-1,-6.10604,2.99859,5.04457,5.04457,9.06476,12.2244,12.2244,12.7222,14.6923,14.6923,16.3133,19.5753,22.19,22.19,22.6282,23.2456
0.24,-1,-6.13709,3.16751,5.07152,5.07152,9.05249,12.2342,12.2342,12.4781,14.5615,14.5615,16.4343,19.2197,21.8911,21.8911,23.0831,23.6408
0.26,-1,-6.16787,3.34602,5.09925,5.09925,9.02255,12.2317,12.2317,12.2624,14.4605,14.4605,16.5626,18.8653,21.5529,21.5529,23.5403,24.103
0.28,-1,-6.19792,3.53289,5.12734,5.12734,8.97062,12.0798,12.2155,12.2155,14.3909,14.3909,16.6923,18.529,21.2147,21.2147,23.7045,24.2693
0.3,-1,-6.22682,3.72676,5.15536,5.15536,8.89337,11.9336,12.1855,12.1855,14.3523,14.3523,16.8117,18.2285,20.8874,20.8874,23.3632,24.7199
0.32,-1,-6.25416,3.92605,5.18281,5.18281,8.7895,11.8253,12.1435,12.1435,14.3423,14.3423,16.8943,17.9939,20.5757,20.5757,22.9652,25.2535
0.34,-1,-6.27958,4.12885,5.20922,5.20922,8.66037,11.7532,12.0927,12.0927,14.3567,14.3567,16.8938,17.8743,20.283,20.283,22.5698,25.8099
0.36,-1,-6.30276,4.33277,5.23407,5.23407,8.51009,11.7134,12.037,12.037,14.39,14.39,16.7865,17.8958,20.0122,20.0122,22.185,26.3808
0.38,-1,-6.32341,4.53467,5.25687,5.25687,8.34502,11.6997,11.9805,11.9805,14.4364,14.4364,16.6151,18.0177,19.7663,19.7663,21.814,26.9638
0.4,-1,-6.3413,4.73034,5.27714,5.27714,8.17319,11.7051,11.9267,11.9267,14.4896,14.4896,16.4298,18.1913,19.5487,19.5487,21.4595,27.5575
0.42,-1,-6.35621,4.91388,5.29442,5.29442,8.00413,11.7223,11.8788,11.8788,14.5439,14.5439,16.258,18.3898,19.3629,19.3629,21.1251,28.1613
0.44,-1,-6.36798,5.07707,5.30831,5.30831,7.84913,11.7445,11.8391,11.8391,14.5933,14.5933,16.1135,18.5964,19.2128,19.2128,20.8177,28.7744
0.46,-1,-6.37648,5.20885,5.31849,5.31849,7.72159,11.7653,11.8096,11.8096,14.633,14.633,16.0049,18.7932,19.1023,19.1023,20.5509,29.3954
0.48,-1,-6.38161,5.29606,5.3247,5.3247,7.63631,11.78,11.7914,11.7914,14.6586,14.6586,15.9375,18.9486,19.0344,19.0344,20.3541,30.0192
0.5,-1,-6.38333,5.32679,5.32679,5.32679,7.60612,11.7852,11.7852,11.7852,14.6675,14.6675,15.9147,19.0115,19.0115,19.0115,20.2775,30.504
0.5,1,-6.38333,5.32679,5.32679,5.32679,7.60612,11.7852,11.7852,11.7852,14.6675,14.6675,15.9147,19.0115,19.0115,19.0115,20.2775,30.504
0.52,1,-6.38276,5.31825,5.32519,5.32519,7.6163,11.7805,11.7887,11.7887,14.6601,14.6689,15.9223,18.9997,19.0141,19.0141,20.304,30.3189
0.54,1,-6.38104,5.29309,5.32039,5.32039,7.64639,11.7665,11.7993,11.7993,14.6381,14.6732,15.9451,18.9675,19.0218,19.0218,20.3802,30.0408
0.56,1,-6.37818,5.2526,5.31244,5.31244,7.69504,11.7435,11.8169,11.8169,14.6018,14.6803,15.9828,18.9225,19.0346,19.0346,20.4981,29.7463
0.58,1,-6.37419,5.19863,5.30141,5.30141,7.76037,11.712,11.8413,11.8413,14.5518,14.6903,16.035,18.8724,19.0526,19.0526,20.6492,29.4412
0.6,1,-6.36908,5.13328,5.2874,5.2874,7.84019,11.6727,11.8726,11.8726,14.4891,14.7031,16.1011,18.8233,19.0757,19.0757,20.8265,29.1376
0.62,1,-6.36286,5.05865,5.27053,5.27053,7.9323,11.6265,11.9106,11.9106,14.4148,14.7188,16.1804,18.7793,19.1039,19.1039,21.025,28.8365
0.64,1,-6.35555,4.97666,5.25093,5.25093,8.03466,11.574,11.9551,11.9551,14.3302,14.7373,16.272,18.7427,19.1372,19.1372,21.2409,28.5382
0.66,1,-6.34717,4.88897,5.22876,5.22876,8.14541,11.5163,12.006,12.006,14.2367,14.7586,16.3753,18.7149,19.1755,19.1755,21.4716,28.2399
0.68,1,-6.33774,4.79702,5.2042,5.2042,8.26294,11.454,12.0631,12.0631,14.1358,14.7827,16.4892,18.6964,19.2189,19.2189,21.715,27.9419
0.7,1,-6.32728,4.70195,5.17743,5.17743,8.38583,11.3881,12.1262,12.1262,14.0291,14.8096,16.6131,18.6875,19.2673,19.2673,21.9697,27.6464
0.72,1,-6.31584,4.60473,5.14865,5.14865,8.51281,11.3193,12.1951,12.1951,13.9183,14.8392,16.7462,18.688,19.3207,19.3207,22.2342,27.3534
0.74,1,-6.30344,4.50613,5.11806,5.11806,8.64269,11.2483,12.2696,12.2696,13.8049,14.8717,16.8878,18.6976,19.379,19.379,22.5074,27.0635
