n,G(1),G(2),G(3),|G|,|G|^2,Re(V_G),Im(V_G)
1,0,0,0,0,0,0,0
2,-1,-1,-1,1.73205,3,1.92414,0
3,-1,-1,1,1.73205,3,-1.92414,0
4,1,-1,-1,1.73205,3,-1.92414,0
5,-1,1,-1,1.73205,3,-1.92414,0
6,1,-1,1,1.73205,3,-1.92414,0
7,-1,1,1,1.73205,3,-1.92414,0
8,1,1,-1,1.73205,3,-1.92414,0
9,1,1,1,1.73205,3,1.92414,0
10,0,-2,0,2,4,0,0
11,-2,0,0,2,4,0,0
12,0,0,-2,2,4,0,0
13,0,0,2,2,4,0,0
14,2,0,0,2,4,0,0
15,0,2,0,2,4,0,0
16,-2,-2,0,2.82843,8,0,0
17,0,-2,-2,2.82843,8,0,0
18,-2,0,-2,2.82843,8,0,0
19,0,-2,2,2.82843,8,0,0
20,-2,0,2,2.82843,8,0,0
21,2,-2,0,2.82843,8,0,0
22,-2,2,0,2.82843,8,0,0
23,2,0,-2,2.82843,8,0,0
24,0,2,-2,2.82843,8,0,0
25,2,0,2,2.82843,8,-0,0
26,0,2,2,2.82843,8,-0,0
27,2,2,0,2.82843,8,-0,0
28,-1,-3,-1,3.31662,11,-0.384827,0
29,-3,-1,-1,3.31662,11,-0.384827,0
30,-1,-3,1,3.31662,11,-0.384827,0
31,-3,-1,1,3.31662,11,-0.384827,0
32,-1,-1,-3,3.31662,11,-0.384827,0
33,1,-3,-1,3.31662,11,-0.384827,0
34,1,-3,1,3.31662,11,0.384827,0
35,-3,1,-1,3.31662,11,-0.384827,0
36,-3,1,1,3.31662,11,0.384827,0
37,-1,-1,3,3.31662,11,0.384827,0
38,1,-1,-3,3.31662,11,-0.384827,0
39,-1,1,-3,3.31662,11,-0.384827,0
40,1,-1,3,3.31662,11,-0.384827,0
41,-1,1,3,3.31662,11,-0.384827,0
42,1,1,-3,3.31662,11,0.384827,0
43,3,-1,-1,3.31662,11,0.384827,0
44,3,-1,1,3.31662,11,-0.384827,0
45,-1,3,-1,3.31662,11,0.384827,0
46,-1,3,1,3.31662,11,-0.384827,0
47,1,1,3,3.31662,11,-0.384827,0
48,3,1,-1,3.31662,11,-0.384827,0
49,1,3,-1,3.31662,11,-0.384827,0
50,3,1,1,3.31662,11,-0.384827,0
51,1,3,1,3.31662,11,-0.384827,0
52,-2,-2,-2,3.4641,12,-0,0
53,-2,-2,2,3.4641,12,0,0
54,2,-2,-2,3.4641,12,0,0
55,-2,2,-2,3.4641,12,0,0
56,2,-2,2,3.4641,12,0,0
57,-2,2,2,3.4641,12,0,0
58,2,2,-2,3.4641,12,0,0
59,2,2,2,3.4641,12,0,0
60,0,-4,0,4,16,0,0
61,-4,0,0,4,16,0,0
62,0,0,-4,4,16,0,0
63,0,0,4,4,16,-0,0
64,4,0,0,4,16,-0,0
65,0,4,0,4,16,-0,0
66,-3,-3,-1,4.3589,19,0,0
67,-3,-3,1,4.3589,19,-0,0
68,-1,-3,-3,4.3589,19,0,0
69,-3,-1,-3,4.3589,19,0,0
70,-1,-3,3,4.3589,19,0,0
71,-3,-1,3,4.3589,19,0,0
72,1,-3,-3,4.3589,19,-0,0
73,-3,1,-3,4.3589,19,-0,0
74,1,-3,3,4.3589,19,0,0
75,-3,1,3,4.3589,19,0,0
76,3,-3,-1,4.3589,19,0,0
77,3,-3,1,4.3589,19,0,0
78,-3,3,-1,4.3589,19,0,0
79,-3,3,1,4.3589,19,0,0
80,3,-1,-3,4.3589,19,0,0
81,-1,3,-3,4.3589,19,0,0
82,3,-1,3,4.3589,19,0,0
83,-1,3,3,4.3589,19,0,0
84,3,1,-3,4.3589,19,0,0
85,1,3,-3,4.3589,19,0,0
86,3,1,3,4.3589,19,0,0
87,1,3,3,4.3589,19,0,0
88,3,3,-1,4.3589,19,0,0
89,3,3,1,4.3589,19,0,0
90,-2,-4,0,4.47214,20,-0,0
91,-4,-2,0,4.47214,20,-0,0
92,0,-4,-2,4.47214,20,-0,0
93,-4,0,-2,4.47214,20,-0,0
94,0,-4,2,4.47214,20,0,0
95,-4,0,2,4.47214,20,0,0
96,0,-2,-4,4.47214,20,-0,0
97,-2,0,-4,4.47214,20,-0,0
98,2,-4,0,4.47214,20,0,0
99,-4,2,0,4.47214,20,0,0
100,0,-2,4,4.47214,20,0,0
101,-2,0,4,4.47214,20,0,0
102,2,0,-4,4.47214,20,0,0
103,0,2,-4,4.47214,20,0,0
104,4,-2,0,4.47214,20,0,0
105,-2,4,0,4.47214,20,0,0
106,2,0,4,4.47214,20,0,0
107,0,2,4,4.47214,20,0,0
108,4,0,-2,4.47214,20,0,0
109,0,4,-2,4.47214,20,0,0
110,4,0,2,4.47214,20,0,0
111,0,4,2,4.47214,20,0,0
112,4,2,0,4.47214,20,0,0
113,2,4,0,4.47214,20,0,0
